Name,Domain,PingResult,DateTime
test,github.com,FAILURE,2026-06-19 17:19:05
prueba,dominiofalso123.com,FAILURE,2026-06-19 17:19:49
mysite,google.com,FAILURE,2026-06-19 17:27:38
mysite,google.com,FAILURE,2026-06-19 17:27:41
mysite,google.com,FAILURE,2026-06-19 17:27:43
mysite,google.com,FAILURE,2026-06-19 17:27:45
mysite,google.com,FAILURE,2026-06-19 17:27:47
mysite,google.com,FAILURE,2026-06-19 17:27:49
mysite,google.com,FAILURE,2026-06-19 17:27:51
mysite,google.com,FAILURE,2026-06-19 17:27:53
mysite,google.com,FAILURE,2026-06-19 17:27:55
mysite,google.com,FAILURE,2026-06-19 17:27:57
mysite,google.com,FAILURE,2026-06-19 17:27:59
mysite,google.com,FAILURE,2026-06-19 17:28:01
mysite,google.com,FAILURE,2026-06-19 17:28:03
mysite,google.com,FAILURE,2026-06-19 17:28:05
mysite,google.com,FAILURE,2026-06-19 17:28:07
mysite,google.com,FAILURE,2026-06-19 17:28:09
mysite,google.com,FAILURE,2026-06-19 17:28:11
mysite,google.com,FAILURE,2026-06-19 17:28:13
mysite,google.com,FAILURE,2026-06-19 17:28:15
mysite,google.com,FAILURE,2026-06-19 17:28:17
mysite,google.com,FAILURE,2026-06-19 17:28:19
mysite,google.com,FAILURE,2026-06-19 17:28:21
mysite,google.com,FAILURE,2026-06-19 17:28:23
mysite,google.com,FAILURE,2026-06-19 17:28:25
mysite,google.com,FAILURE,2026-06-19 17:28:27
mysite,google.com,FAILURE,2026-06-19 17:28:29
mysite,google.com,FAILURE,2026-06-19 17:28:31
mysite,google.com,FAILURE,2026-06-19 17:28:33
mysite,google.com,FAILURE,2026-06-19 17:28:36
mysite,google.com,FAILURE,2026-06-19 17:28:38
mysite,google.com,FAILURE,2026-06-19 17:28:40
mysite,google.com,FAILURE,2026-06-19 17:28:42
mysite,google.com,FAILURE,2026-06-19 17:28:44
mysite,google.com,FAILURE,2026-06-19 17:28:46
mysite,google.com,FAILURE,2026-06-19 17:28:48
mysite,google.com,FAILURE,2026-06-19 17:28:50
mysite,google.com,FAILURE,2026-06-19 17:28:52
mysite,google.com,FAILURE,2026-06-19 17:28:53
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:54
mysite,google.com,FAILURE,2026-06-19 17:28:55
mysite,google.com,FAILURE,2026-06-19 17:29:12
mysite,google.com,FAILURE,2026-06-19 17:29:14
mysite,google.com,FAILURE,2026-06-19 17:29:16
mysite,google.com,FAILURE,2026-06-19 17:29:18
mysite,google.com,FAILURE,2026-06-19 17:29:20
mysite,google.com,FAILURE,2026-06-19 17:29:22
mysite,google.com,FAILURE,2026-06-19 17:29:24
mysite,google.com,FAILURE,2026-06-19 17:29:26
mysite,google.com,FAILURE,2026-06-19 17:29:28
mysite,google.com,FAILURE,2026-06-19 17:29:30
mysite,google.com,FAILURE,2026-06-19 17:29:32
mysite,google.com,FAILURE,2026-06-19 17:29:34
mysite,google.com,FAILURE,2026-06-19 17:29:36
mysite,google.com,FAILURE,2026-06-19 17:29:38
mysite,google.com,FAILURE,2026-06-19 17:29:40
mysite,google.com,FAILURE,2026-06-19 17:29:42
mysite,google.com,FAILURE,2026-06-19 17:29:44
mysite,google.com,FAILURE,2026-06-19 17:29:46
mysite,google.com,FAILURE,2026-06-19 17:29:48
mysite,google.com,FAILURE,2026-06-19 17:29:50
mysite,google.com,FAILURE,2026-06-19 17:29:52
mysite,google.com,FAILURE,2026-06-19 17:29:54
mysite,google.com,FAILURE,2026-06-19 17:29:56
mysite,google.com,FAILURE,2026-06-19 17:29:58
mysite,google.com,FAILURE,2026-06-19 17:30:00
mysite,google.com,FAILURE,2026-06-19 17:30:02
mysite,google.com,FAILURE,2026-06-19 17:30:03
mysite,google.com,FAILURE,2026-06-19 17:30:04
test,github.com,FAILURE,2026-06-19 17:30:08
mysite,google.com,FAILURE,2026-06-19 17:30:10
mysite,google.com,FAILURE,2026-06-19 17:30:12
mysite,google.com,FAILURE,2026-06-19 17:30:14
mysite,google.com,FAILURE,2026-06-19 17:30:16
mysite,google.com,FAILURE,2026-06-19 17:30:18
mysite,google.com,FAILURE,2026-06-19 17:30:20
mysite,google.com,FAILURE,2026-06-19 17:30:22
mysite,google.com,FAILURE,2026-06-19 17:30:24
mysite,google.com,FAILURE,2026-06-19 17:30:26
mysite,google.com,FAILURE,2026-06-19 17:30:28
mysite,google.com,FAILURE,2026-06-19 17:30:30
mysite,google.com,FAILURE,2026-06-19 17:30:32
mysite,google.com,FAILURE,2026-06-19 17:30:34
mysite,google.com,FAILURE,2026-06-19 17:30:36
mysite,google.com,FAILURE,2026-06-19 17:30:38
mysite,google.com,FAILURE,2026-06-19 17:30:40
mysite,google.com,FAILURE,2026-06-19 17:30:42
mysite,8.8.8.8,FAILURE,2026-06-19 17:39:56
